"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Agenda","Agenda","","","",0,*,"","","","null {[]} {[]}
","Un agenda appartient à une ou plusieurs ressources, regroupe un ensemble de créneaux, des plages de disponibilité et des rendez-vous sur une période définie.","Un agenda appartient à une ou plusieurs ressources, regroupe un ensemble de créneaux, des plages de disponibilité et des rendez-vous sur une période définie.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Agenda.idAgenda","Agenda.idAgenda","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant de l'agenda.","Identifiant de l'agenda.","","","","","","","","","",,,,,"",,,,"Agenda.idAgenda",0,1,"",""
"Agenda.nomAgenda","Agenda.nomAgenda","","","",0,1,"","","","string {[]} {[]}
","Nom de l'agenda.","Nom de l'agenda.","","","","","","","","","",,,,,"",,,,"Agenda.nomAgenda",0,1,"",""
"Agenda.dateCreation","Agenda.dateCreation","","","",0,1,"","","","date {[]} {[]}
","Date de création de l'agenda.","Date de création de l'agenda.","","","","","","","","","",,,,,"",,,,"Agenda.dateCreation",0,1,"",""
"Agenda.dateDebutPlanification","Agenda.dateDebutPlanification","","","",0,1,"","","","dateTime {[]} {[]}
","Date de début de validité de l'agenda.","Date de début de validité de l'agenda.","","","","","","","","","",,,,,"",,,,"Agenda.dateDebutPlanification",0,1,"",""
"Agenda.dateFinPlanification","Agenda.dateFinPlanification","","","",0,1,"","","","dateTime {[]} {[]}
","Date de fin de validité de l'agenda.","Date de fin de validité de l'agenda.","","","","","","","","","",,,,,"",,,,"Agenda.dateFinPlanification",0,1,"",""
